timestamp,temperature_c,dissolved_oxygen_mgl,ph,tds_ppm
2026-06-04T08:00:00+00:00,18.08,7.66,7.26,314.5
2026-06-04T08:00:30+00:00,18.24,8.21,7.39,313.1
2026-06-04T08:01:00+00:00,18.15,7.72,7.27,322.9
2026-06-04T08:01:30+00:00,18.01,7.87,7.37,325.0
2026-06-04T08:02:00+00:00,18.23,8.2,7.41,315.6
2026-06-04T08:02:30+00:00,18.67,8.31,7.33,320.0
2026-06-04T08:03:00+00:00,18.86,8.03,7.29,320.1
2026-06-04T08:03:30+00:00,18.88,8.26,7.44,334.1
2026-06-04T08:04:00+00:00,18.78,8.56,7.37,331.8
2026-06-04T08:04:30+00:00,19.04,8.29,7.48,333.5
2026-06-04T08:05:00+00:00,19.05,7.83,7.36,329.0
2026-06-04T08:05:30+00:00,18.75,7.99,7.35,329.9
2026-06-04T08:06:00+00:00,19.16,8.09,7.41,329.6
2026-06-04T08:06:30+00:00,19.0,8.55,7.48,338.7
2026-06-04T08:07:00+00:00,19.01,8.37,7.39,335.1
2026-06-04T08:07:30+00:00,19.56,8.3,7.48,342.2
2026-06-04T08:08:00+00:00,19.52,8.39,7.42,330.1
2026-06-04T08:08:30+00:00,19.25,7.98,7.43,349.1
2026-06-04T08:09:00+00:00,19.62,8.0,7.53,338.9
2026-06-04T08:09:30+00:00,19.68,8.1,7.46,336.7
2026-06-04T08:10:00+00:00,19.49,7.92,7.53,350.4
2026-06-04T08:10:30+00:00,19.42,7.86,7.62,343.2
2026-06-04T08:11:00+00:00,19.25,7.7,7.45,346.0
2026-06-04T08:11:30+00:00,19.67,7.97,7.45,341.6
2026-06-04T08:12:00+00:00,19.8,8.03,7.64,351.5
2026-06-04T08:12:30+00:00,19.2,8.15,7.59,345.3
2026-06-04T08:13:00+00:00,19.34,8.06,7.48,343.5
2026-06-04T08:13:30+00:00,19.43,8.27,7.64,340.2
2026-06-04T08:14:00+00:00,19.44,7.62,7.65,352.4
2026-06-04T08:14:30+00:00,19.28,7.95,7.6,338.0
2026-06-04T08:15:00+00:00,19.52,7.83,7.64,345.5
2026-06-04T08:15:30+00:00,19.02,7.62,7.49,353.3
2026-06-04T08:16:00+00:00,19.5,7.98,7.55,335.6
2026-06-04T08:16:30+00:00,19.44,8.03,7.51,343.9
2026-06-04T08:17:00+00:00,18.89,7.84,7.65,336.3
2026-06-04T08:17:30+00:00,19.07,7.62,7.55,350.7
2026-06-04T08:18:00+00:00,18.97,7.3,7.61,347.3
2026-06-04T08:18:30+00:00,18.76,7.34,7.7,345.1
2026-06-04T08:19:00+00:00,18.82,7.45,7.52,335.9
2026-06-04T08:19:30+00:00,18.68,7.46,7.55,335.1
2026-06-04T08:20:00+00:00,18.43,7.45,7.55,348.0
2026-06-04T08:20:30+00:00,18.81,6.95,7.55,342.4
2026-06-04T08:21:00+00:00,18.33,6.95,7.69,339.5
2026-06-04T08:21:30+00:00,18.39,7.42,7.66,330.9
2026-06-04T08:22:00+00:00,18.07,7.09,7.58,335.4
2026-06-04T08:22:30+00:00,18.35,7.23,7.69,326.9
2026-06-04T08:23:00+00:00,18.05,6.91,7.66,328.8
2026-06-04T08:23:30+00:00,17.83,6.95,7.57,328.2
2026-06-04T08:24:00+00:00,17.76,7.28,7.57,338.7
2026-06-04T08:24:30+00:00,17.84,6.54,7.68,336.9
2026-06-04T08:25:00+00:00,18.0,7.19,7.64,322.2
2026-06-04T08:25:30+00:00,17.61,6.57,7.55,318.8
2026-06-04T08:26:00+00:00,17.45,7.15,7.51,331.9
2026-06-04T08:26:30+00:00,17.4,6.65,7.65,334.8
2026-06-04T08:27:00+00:00,17.37,6.84,7.48,319.5
2026-06-04T08:27:30+00:00,17.53,6.69,7.55,327.1
2026-06-04T08:28:00+00:00,16.9,6.66,7.54,327.8
2026-06-04T08:28:30+00:00,16.88,6.92,7.44,313.1
2026-06-04T08:29:00+00:00,17.06,6.65,7.47,310.4
2026-06-04T08:29:30+00:00,17.17,6.27,7.53,319.0
2026-06-04T08:30:00+00:00,16.82,4.01,7.51,323.9
2026-06-04T08:30:30+00:00,16.62,4.08,7.44,311.8
2026-06-04T08:31:00+00:00,16.85,3.72,7.45,317.6
2026-06-04T08:31:30+00:00,16.44,3.82,7.57,321.2
2026-06-04T08:32:00+00:00,16.39,3.6,7.42,318.6
2026-06-04T08:32:30+00:00,16.83,4.11,7.43,301.8
2026-06-04T08:33:00+00:00,16.77,3.95,7.47,317.2
2026-06-04T08:33:30+00:00,16.64,3.37,7.5,302.3
2026-06-04T08:34:00+00:00,16.62,4.1,7.35,297.5
2026-06-04T08:34:30+00:00,16.27,3.78,7.37,306.1
2026-06-04T08:35:00+00:00,16.63,3.49,7.43,298.3
2026-06-04T08:35:30+00:00,16.49,4.04,7.46,293.9
2026-06-04T08:36:00+00:00,16.46,3.53,7.28,306.5
2026-06-04T08:36:30+00:00,16.6,3.51,7.41,301.2
2026-06-04T08:37:00+00:00,16.49,3.31,7.27,307.0
2026-06-04T08:37:30+00:00,16.8,3.74,7.41,300.3
2026-06-04T08:38:00+00:00,16.38,5.91,7.29,305.9
2026-06-04T08:38:30+00:00,16.81,6.5,7.4,291.5
2026-06-04T08:39:00+00:00,16.52,5.9,7.36,304.5
2026-06-04T08:39:30+00:00,16.67,6.32,7.23,304.9
2026-06-04T08:40:00+00:00,17.0,6.62,7.34,303.5
2026-06-04T08:40:30+00:00,16.56,6.45,7.24,304.2
2026-06-04T08:41:00+00:00,17.09,6.57,7.32,290.6
2026-06-04T08:41:30+00:00,17.15,5.98,7.32,302.3
2026-06-04T08:42:00+00:00,16.89,6.57,7.23,291.1
2026-06-04T08:42:30+00:00,17.31,6.12,7.13,288.9
2026-06-04T08:43:00+00:00,17.11,6.66,7.31,290.6
2026-06-04T08:43:30+00:00,17.39,6.32,7.3,295.9
2026-06-04T08:44:00+00:00,17.66,6.12,7.28,289.0
2026-06-04T08:44:30+00:00,17.76,6.27,7.1,294.4
2026-06-04T08:45:00+00:00,17.72,6.35,7.19,296.3
2026-06-04T08:45:30+00:00,17.61,6.59,7.11,300.6
2026-06-04T08:46:00+00:00,17.48,6.91,7.15,301.3
2026-06-04T08:46:30+00:00,18.02,6.74,7.11,288.9
2026-06-04T08:47:00+00:00,18.07,6.51,7.09,305.1
2026-06-04T08:47:30+00:00,18.21,6.53,7.08,297.1
2026-06-04T08:48:00+00:00,18.12,6.57,7.03,298.1
2026-06-04T08:48:30+00:00,18.54,6.92,7.18,302.8
2026-06-04T08:49:00+00:00,18.25,6.86,6.99,297.1
2026-06-04T08:49:30+00:00,18.43,6.94,7.11,301.7
2026-06-04T08:50:00+00:00,18.53,6.69,7.07,311.4
2026-06-04T08:50:30+00:00,18.83,6.7,6.98,304.7
2026-06-04T08:51:00+00:00,18.82,6.89,7.12,310.6
2026-06-04T08:51:30+00:00,18.93,6.85,6.99,297.2
2026-06-04T08:52:00+00:00,18.75,7.1,7.11,299.4
2026-06-04T08:52:30+00:00,18.93,7.27,6.98,313.1
2026-06-04T08:53:00+00:00,19.06,7.01,7.06,300.5
2026-06-04T08:53:30+00:00,19.28,7.48,6.95,310.2
2026-06-04T08:54:00+00:00,19.0,7.68,7.03,304.0
2026-06-04T08:54:30+00:00,19.1,7.64,7.01,320.4
2026-06-04T08:55:00+00:00,19.4,7.81,7.03,324.7
2026-06-04T08:55:30+00:00,19.58,7.55,7.05,317.2
2026-06-04T08:56:00+00:00,19.59,7.55,7.09,323.3
2026-06-04T08:56:30+00:00,19.41,7.37,6.95,322.6
2026-06-04T08:57:00+00:00,19.61,7.62,7.03,316.7
2026-06-04T08:57:30+00:00,19.22,7.48,6.96,319.0
2026-06-04T08:58:00+00:00,19.51,7.4,6.95,327.9
2026-06-04T08:58:30+00:00,19.62,7.39,6.98,326.2
2026-06-04T08:59:00+00:00,19.45,7.54,6.98,334.8
2026-06-04T08:59:30+00:00,19.55,7.97,7.07,333.4
