epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62781,2.72091,3.23252,1.97694,0.04433,0.77101,0.05661,0.02013,2.22172,3.15178,1.59517,4e-05,4e-05,4e-05
2,11.7915,2.48236,3.17026,1.88629,0.048,0.83478,0.08112,0.02916,2.06191,3.07688,1.45342,9.901e-05,9.901e-05,9.901e-05
3,13.8493,2.14953,3.01071,1.6475,0.04767,0.82899,0.19349,0.07159,1.95183,3.04465,1.38292,0.000156832,0.000156832,0.000156832
4,15.8266,2.04049,2.99416,1.53154,0.0455,0.7913,0.40917,0.13326,1.94208,3.06611,1.40482,0.000213466,0.000213466,0.000213466
5,17.7873,2.00067,2.80711,1.52425,0.04517,0.78551,0.41931,0.14309,1.98061,3.07168,1.42324,0.000268912,0.000268912,0.000268912
6,19.7316,2.05373,2.68758,1.4722,0.04733,0.82319,0.46563,0.14402,2.07131,3.02597,1.42692,0.00032317,0.00032317,0.00032317
7,21.5975,2.06365,2.54935,1.3859,0.0495,0.86087,0.40557,0.11097,2.23482,2.98996,1.45628,0.00037624,0.00037624,0.00037624
8,23.5576,2.06894,2.32938,1.34334,0.04767,0.82899,0.33698,0.09687,2.32271,2.98714,1.51221,0.000428122,0.000428122,0.000428122
9,25.9618,2.03505,2.12953,1.33211,0.051,0.88696,0.47133,0.15657,2.1177,2.9204,1.38777,0.000478816,0.000478816,0.000478816
10,28.3367,1.95481,2.09815,1.31645,0.05117,0.88986,0.59341,0.21973,1.93199,2.88302,1.33545,0.000528322,0.000528322,0.000528322
11,30.9093,2.02834,1.87171,1.43873,0.04633,0.8058,0.50606,0.16309,1.89842,2.94637,1.40018,0.00057664,0.00057664,0.00057664
12,33.7741,1.95944,1.77778,1.39264,0.04333,0.75362,0.46407,0.15637,1.86062,2.95052,1.41086,0.00062377,0.00062377,0.00062377
13,37.0704,2.02139,1.85796,1.41226,0.04683,0.81449,0.52379,0.1878,1.81179,2.84348,1.35456,0.000669712,0.000669712,0.000669712
14,40.131,2.02841,1.55587,1.43253,0.04883,0.84928,0.57004,0.20322,1.821,2.72902,1.33606,0.000714466,0.000714466,0.000714466
