epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0497,1.81217,1.64085,1.62588,0.2038,0.69674,0.1791,0.09303,1.52403,3.79184,1.40603,0.000653846,0.000653846,0.000653846
2,93.2627,1.54173,1.16963,1.40393,0.74978,0.62557,0.71807,0.41668,1.43314,1.75498,1.39816,0.00130744,0.00130744,0.00130744
3,149.962,1.53469,1.11109,1.36452,0.65425,0.59189,0.62306,0.31958,1.65242,1.40052,1.55476,0.00194783,0.00194783,0.00194783
4,208.863,1.53382,1.1256,1.37452,0.74728,0.56813,0.67337,0.41118,1.45813,1.24974,1.35146,0.0019406,0.0019406,0.0019406
5,274.357,1.48551,1.06031,1.34493,0.82719,0.55934,0.6824,0.39819,1.53753,1.17919,1.3754,0.0019208,0.0019208,0.0019208
6,351.245,1.49773,1.04821,1.35996,0.71689,0.49115,0.56568,0.33745,1.40977,1.20982,1.29387,0.001901,0.001901,0.001901
7,429.552,1.45761,1.00662,1.32424,0.81596,0.59308,0.70606,0.41939,1.43371,0.97207,1.30373,0.0018812,0.0018812,0.0018812
8,505.308,1.48441,1.0015,1.3356,0.80044,0.54033,0.64164,0.41491,1.21342,0.9609,1.20437,0.0018614,0.0018614,0.0018614
9,583.791,1.48103,1.04581,1.34502,0.81542,0.53902,0.62539,0.40156,1.23686,0.92477,1.21085,0.0018416,0.0018416,0.0018416
10,657.763,1.40341,0.95589,1.30759,0.794,0.50098,0.57346,0.36179,1.3312,1.09106,1.27012,0.0018218,0.0018218,0.0018218
11,738.726,1.4178,0.9591,1.29785,0.77828,0.51213,0.59329,0.349,1.49045,1.26089,1.35765,0.001802,0.001802,0.001802
12,816.156,1.40785,0.96251,1.30199,0.80994,0.4974,0.5801,0.37134,1.2814,0.99373,1.2295,0.0017822,0.0017822,0.0017822
13,900.601,1.40446,0.97132,1.30587,0.82034,0.48918,0.5834,0.36703,1.31793,0.98044,1.24903,0.0017624,0.0017624,0.0017624
14,990.248,1.40419,0.9545,1.30775,0.81354,0.51279,0.60812,0.39395,1.28039,0.93963,1.23109,0.0017426,0.0017426,0.0017426
15,1085.45,1.41891,0.94024,1.30621,0.75047,0.47475,0.54102,0.34637,1.27176,1.04474,1.25055,0.0017228,0.0017228,0.0017228
16,1181.65,1.39595,0.94756,1.29118,0.80885,0.46033,0.53639,0.31316,1.49085,0.98467,1.35095,0.001703,0.001703,0.001703
17,1268.49,1.45401,0.94803,1.31206,0.82286,0.47519,0.56415,0.37103,1.30579,1.09672,1.23275,0.0016832,0.0016832,0.0016832
18,1352.91,1.40456,0.95633,1.2832,0.83193,0.59475,0.69904,0.44779,1.24666,0.87867,1.21785,0.0016634,0.0016634,0.0016634
19,1437.99,1.36834,0.92674,1.2776,0.81733,0.44889,0.53585,0.35348,1.20224,0.94962,1.19065,0.0016436,0.0016436,0.0016436
20,1528.34,1.34532,0.90163,1.28069,0.86494,0.49705,0.59988,0.38824,1.20912,0.84817,1.17835,0.0016238,0.0016238,0.0016238
21,1624.05,1.3294,0.90094,1.25805,0.80239,0.48192,0.56385,0.36806,1.2447,0.93034,1.21569,0.001604,0.001604,0.001604
22,1717.87,1.34336,0.89074,1.25923,0.72385,0.39533,0.43776,0.27385,1.38377,1.17336,1.26402,0.0015842,0.0015842,0.0015842
23,1805.01,1.33939,0.889,1.2549,0.79202,0.53049,0.60493,0.3913,1.24688,0.93998,1.1963,0.0015644,0.0015644,0.0015644
24,1900.99,1.33141,0.88794,1.25103,0.8131,0.53061,0.63066,0.40298,1.28764,0.97072,1.22581,0.0015446,0.0015446,0.0015446
25,1997.01,1.32631,0.87745,1.25821,0.84467,0.62426,0.74109,0.49684,1.17167,0.82819,1.16546,0.0015248,0.0015248,0.0015248
26,2105.61,1.35424,0.89765,1.27537,0.83554,0.5597,0.65896,0.43492,1.21228,0.88179,1.17892,0.001505,0.001505,0.001505
27,2191.15,1.34594,0.87772,1.26296,0.81847,0.46713,0.53112,0.35049,1.25977,0.96842,1.21167,0.0014852,0.0014852,0.0014852
28,2283.67,1.30232,0.86077,1.24135,0.85321,0.5946,0.70261,0.47315,1.18807,0.85367,1.17749,0.0014654,0.0014654,0.0014654
29,2383.73,1.30573,0.86201,1.2475,0.8407,0.63279,0.74714,0.48865,1.22472,0.81917,1.19954,0.0014456,0.0014456,0.0014456
30,2474.72,1.29326,0.86716,1.24996,0.8349,0.4741,0.55753,0.38071,1.16038,0.94226,1.17501,0.0014258,0.0014258,0.0014258
31,2578.71,1.30308,0.85472,1.24537,0.83962,0.52197,0.62218,0.41654,1.19189,0.82619,1.18486,0.001406,0.001406,0.001406
32,2681.84,1.27118,0.83248,1.22541,0.86074,0.58363,0.68372,0.46751,1.17362,0.80777,1.18353,0.0013862,0.0013862,0.0013862
33,2773.54,1.2833,0.83929,1.23244,0.82464,0.56739,0.66977,0.44791,1.17441,0.89509,1.18087,0.0013664,0.0013664,0.0013664
34,2866.16,1.28503,0.82443,1.2266,0.78611,0.59047,0.67077,0.44863,1.14599,0.81511,1.15166,0.0013466,0.0013466,0.0013466
35,2963.81,1.30453,0.84455,1.23007,0.8205,0.62951,0.72334,0.50532,1.08911,0.81553,1.13241,0.0013268,0.0013268,0.0013268
36,3053.23,1.2759,0.81392,1.21849,0.85045,0.67738,0.802,0.54599,1.12764,0.82754,1.14353,0.001307,0.001307,0.001307
37,3148.65,1.28861,0.81776,1.22883,0.81491,0.6577,0.76404,0.51844,1.15156,0.81544,1.1774,0.0012872,0.0012872,0.0012872
38,3236.91,1.25943,0.81828,1.21811,0.83218,0.58623,0.68396,0.46215,1.18003,0.97164,1.17815,0.0012674,0.0012674,0.0012674
39,3325.21,1.25521,0.81429,1.21898,0.86549,0.59607,0.71754,0.49172,1.15342,0.83546,1.16483,0.0012476,0.0012476,0.0012476
40,3420.05,1.27562,0.80556,1.21471,0.82052,0.55607,0.63756,0.42312,1.18115,0.92392,1.18891,0.0012278,0.0012278,0.0012278
41,3529.12,1.26987,0.81927,1.2259,0.82436,0.66426,0.7713,0.52859,1.09562,0.77387,1.13667,0.001208,0.001208,0.001208
